"","recipe","Source","Page","Type","Cuisine","diet","Ingredients","makeability","Needed"
"381","slow roasted citrus salmon","Salt, Fat, Acid, Heat",311,"main","western","Non-vegetarian","<span style='color: #CD2626;'>salmon</span>, <span style='color: #458B00;'>lemon</span> or <span style='color: orange;'>meyer lemon</span> or <span style='color: #458B00;'>orange</span> or <span style='color: #CDAD00;'>blood orange</span>, <span style='color: #CD2626;'>avocado</span> or <span style='color: #458B00;'>olive oil</span>",5,2
"382","chicken and garlic soup","Salt, Fat, Acid, Heat",332,"main","western","Non-vegetarian","<span style='color: #CD2626;'>whole chicken</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>carrot</span>, <span style='color: #CD2626;'>celery</span>, <span style='color: #458B00;'>bay leaf</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #CD2626;'>parmesan rind</span> or <span style='color: #458B00;'>rice</span> or <span style='color: #458B00;'>farro</span> or <span style='color: #458B00;'>barley</span> or <span style='color: orange;'>spinach</span> or <span style='color: #458B00;'>garlic</span>",5,4
"383","chicken with lentil rice","Salt, Fat, Acid, Heat",334,"main","western","Non-vegetarian","<span style='color: #CD2626;'>whole chicken</span>, <span style='color: #458B00;'>cumin</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>bay leaf</span>, <span style='color: #458B00;'>saffron</span>, <span style='color: #458B00;'>basmati rice</span>, <span style='color: #458B00;'>raisins</span>, <span style='color: #CD2626;'>dates</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: orange;'>brown lentils</span> or <span style='color: #458B00;'>green lentils</span>",5,3
"384","glazed five spice chicken","Salt, Fat, Acid, Heat",338,"main","asian","Non-vegetarian","<span style='color: #CD2626;'>whole chicken</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>dark brown sugar</span>, <span style='color: #458B00;'>mirin</span>, <span style='color: #458B00;'>sesame oil</span>, <span style='color: #458B00;'>ginger</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>five spice powder</span>, <span style='color: #458B00;'>cayenne pepper</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>scallions</span>",5,1
"385","buttermilk marinated roast chicken","Salt, Fat, Acid, Heat",340,"main","western","Non-vegetarian","<span style='color: #CD2626;'>whole chicken</span>, <span style='color: #458B00;'>buttermilk</span>",5,1
"386","sicilian chicken salad","Salt, Fat, Acid, Heat",342,"main","mediterranean","Non-vegetarian","<span style='color: orange;'>red onion</span>, <span style='color: #458B00;'>red wine vinegar</span>, <span style='color: orange;'>currants</span>, <span style='color: #458B00;'>chicken breast</span> or <span style='color: #CD2626;'>leftover roast chicken</span>, <span style='color: orange;'>aioli</span> or <span style='color: #458B00;'>mayonnaise</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>pine nuts</span>, <span style='color: #CD2626;'>celery</span> or <span style='color: #CD2626;'>fennel bulb</span> or <span style='color: #458B00;'>fennel seed</span>",5,6
"387","kufte kebabs","Salt, Fat, Acid, Heat",356,"main","middle eastern","Non-vegetarian","<span style='color: #458B00;'>saffron</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #CD2626;'>ground lamb</span>, <span style='color: #458B00;'>turmeric</span>, <span style='color: #CD2626;'>parsley</span> or <span style='color: orange;'>mint</span> or <span style='color: #458B00;'>cilantro</span>",5,2
"388","olive oil and sea salt granola","Salt, Fat, Acid, Heat",402,"breakfast","western","Vegan","<span style='color: #458B00;'>old fashioned rolled oats</span>, <span style='color: #458B00;'>pepitas</span>, <span style='color: #458B00;'>sunflower seeds</span>, <span style='color: #458B00;'>unsweetened coconut chips</span>, <span style='color: #458B00;'>pecans</span>, <span style='color: #458B00;'>maple syrup</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>brown sugar</span>, <span style='color: #458B00;'>flax seed</span> or <span style='color: #CD2626;'>dried apricots</span> or <span style='color: orange;'>dried cherries</span> or <span style='color: #458B00;'>dried cranberries</span>",1,0
"389","grilled steak fajitas","The Food Lab",350,"main","latin","Non-vegetarian","<span style='color: #458B00;'>soy sauce</span>, <span style='color: orange;'>lime</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>brown sugar</span>, <span style='color: #458B00;'>cumin</span>, <span style='color: #458B00;'>chile powder</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>skirt steak</span> or <span style='color: #458B00;'>flank steak</span>, <span style='color: #458B00;'>bell pepper</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #CD2626;'>avocado</span> or <span style='color: #458B00;'>salsa verde</span> or <span style='color: #458B00;'>sour cream</span> or <span style='color: #458B00;'>tortillas</span>",3,1
"390","pan seared pork chops with apple and cider sauce","The Food Lab",355,"main","western","Non-vegetarian","<span style='color: #CD2626;'>bone-in pork chop</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>vegetable oil</span>, <span style='color: #458B00;'>apple cider vinegar</span>, <span style='color: #458B00;'>dark brown sugar</span>, <span style='color: #458B00;'>cinnamon</span>, <span style='color: #458B00;'>cloves</span>, <span style='color: #CD2626;'>granny smith apple</span> or <span style='color: #458B00;'>apple</span>",5,2
"391","orange chipotle chicken","The Food Lab",321,"main","western","Non-vegetarian","<span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>orange</span>, <span style='color: #458B00;'>chipotle</span>, <span style='color: orange;'>lime</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>chicken breast</span>",3,1
"392","chicken with lemon caper sauce","The Food Lab",368,"main","western","Non-vegetarian","<span style='color: #458B00;'>chicken breast</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>vegetable oil</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>white wine</span>, <span style='color: #458B00;'>capers</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #CD2626;'>parsley</span>",5,1
"393","chicken with mushroom marsala sauce","The Food Lab",369,"main","western","Non-vegetarian","<span style='color: #458B00;'>chicken breast</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>vegetable oil</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #CD2626;'>mushrooms</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: orange;'>thyme</span>, <span style='color: #458B00;'>tomato paste</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #CD2626;'>sweet marsala</span>, <span style='color: #458B00;'>lemon</span>",5,3
"394","dill lemon creme fraiche","The Food Lab",382,"sauce","western","Vegetarian","<span style='color: #458B00;'>creme fraiche</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>dill</span>, <span style='color: #458B00;'>capers</span>",1,0
"395","sous vide rib eye with shallot garlic and thyme","The Food Lab",394,"main","western","Non-vegetarian","<span style='color: #CD2626;'>rib eye steak</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: orange;'>thyme</span> or <span style='color: #CD2626;'>rosemary</span>, <span style='color: #458B00;'>garlic</span>",5,2
"396","chimichurri sauce","The Food Lab",395,"sauce","latin","Vegan","<span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>oregano</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>red pepper flakes</span>, <span style='color: #458B00;'>red wine vinegar</span>, <span style='color: #458B00;'>olive oil</span>",5,1
"397","hot buttered snap peas with lemon and mint","The Food Lab",412,"side","western","Vegetarian","<span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #CD2626;'>snap peas</span>, <span style='color: orange;'>mint</span>",5,2
"398","hot buttered snap peas with scallions and ham","The Food Lab",412,"side","western","Non-vegetarian","<span style='color: #458B00;'>butter</span>, <span style='color: #CD2626;'>ham</span>, <span style='color: #CD2626;'>snap peas</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>lemon</span>",5,2
"399","hot buttered snap peas with leeks and basil","The Food Lab",413,"side","western","Vegetarian","<span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #CD2626;'>snap peas</span>, <span style='color: #CD2626;'>leek</span>",5,2
"400","hot buttered peas","The Food Lab",413,"side","western","Vegetarian","<span style='color: #458B00;'>frozen peas</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>lemon</span>",1,0
"401","hot buttered peas with bacon, shallots and tarragon","The Food Lab",413,"side","western","Non-vegetarian","<span style='color: #458B00;'>frozen peas</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>bacon</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #CD2626;'>tarragon</span>",5,1
"402","hot buttered peas with pine nuts and prosciutto","The Food Lab",414,"side","western","Non-vegetarian","<span style='color: #458B00;'>frozen peas</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>prosciutto</span>, <span style='color: #458B00;'>pine nuts</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>parsley</span>",5,1
"403","cheesy broccoli or cauliflower casserole","The Food Lab",421,"main","western","Non-vegetarian","<span style='color: #458B00;'>sandwich bread</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #CD2626;'>broccoli</span> or <span style='color: #CD2626;'>cauliflower</span>, <span style='color: #458B00;'>milk</span>, <span style='color: #CD2626;'>gelatin</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>evaporated milk</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>american cheese</span> or <span style='color: #CD2626;'>cheddar</span> or <span style='color: #CD2626;'>jack cheese</span> or <span style='color: #CD2626;'>fontina</span> or <span style='color: #CD2626;'>gruyere</span>, <span style='color: #458B00;'>hot sauce</span>",5,3
"404","micro steamed corn with garlic chili butter","The Food Lab",429,"side","western","Vegetarian","<span style='color: #CD2626;'>corn on the cob</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>chili powder</span>",5,1
"405","pan seared zucchini and corn","The Food Lab",435,"side","western","Vegetarian","<span style='color: #458B00;'>vegetable oil</span>, <span style='color: #458B00;'>corn</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #CD2626;'>jalapeno</span> or <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>zucchini</span>, <span style='color: orange;'>basil</span> or <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>parmesan</span>",3,1
"406","mexican street corn salad","The Food Lab",437,"side","latin","Vegetarian","<span style='color: #458B00;'>vegetable oil</span>, <span style='color: #458B00;'>corn</span>, <span style='color: #458B00;'>mayonnaise</span>, <span style='color: #CD2626;'>cotija</span> or <span style='color: #458B00;'>feta</span> or <span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: orange;'>lime</span>, <span style='color: #458B00;'>chili powder</span>",3,1
"407","pan roasted mushrooms with thyme and shallots","The Food Lab",441,"side","western","Vegetarian","<span style='color: #458B00;'>vegetable oil</span>, <span style='color: #CD2626;'>mushrooms</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: orange;'>thyme</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>butter</span>",5,2
"408","the ultimate creamed spinach","The Food Lab",451,"side","western","Vegetarian","<span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: orange;'>spinach</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>heavy cream</span>, <span style='color: orange;'>whole milk</span> or <span style='color: #458B00;'>milk</span>, <span style='color: #458B00;'>nutmeg</span>, <span style='color: #458B00;'>creme fraiche</span> or <span style='color: #458B00;'>parmesan</span>",3,2
"409","glazed carrots with almonds","The Food Lab",453,"side","western","Non-vegetarian","<span style='color: #458B00;'>carrot</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #CD2626;'>parsley</span> or <span style='color: orange;'>chives</span>, <span style='color: #458B00;'>almonds</span>, <span style='color: #458B00;'>lemon</span>",3,1
"410","glazed pearl onions or turnips or radishes or rutabaga","The Food Lab",453,"side","western","Non-vegetarian","<span style='color: #CD2626;'>pearl onions</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #CD2626;'>parsley</span> or <span style='color: orange;'>chives</span>, <span style='color: #458B00;'>lemon</span>",5,2
"411","broiled asparagus with parmesan bread crumbs","The Food Lab",457,"side","western","Vegetarian","<span style='color: #458B00;'>sandwich bread</span> or <span style='color: #458B00;'>bread crumbs</span> or <span style='color: #458B00;'>panko</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #CD2626;'>asparagus</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>lemon</span>",5,1
"412","roasted cauliflower with pine nut, raisin and caper vinaigrette","The Food Lab",460,"side","western","Vegan","<span style='color: #CD2626;'>cauliflower</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>sherry vinegar</span>, <span style='color: #458B00;'>honey</span>, <span style='color: #458B00;'>capers</span>, <span style='color: #458B00;'>pine nuts</span>, <span style='color: #458B00;'>raisins</span>, <span style='color: #CD2626;'>parsley</span>",5,2
"413","roasted mushrooms","The Food Lab",461,"side","western","Vegan","<span style='color: #CD2626;'>mushrooms</span> or <span style='color: #CD2626;'>cremini mushrooms</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: orange;'>thyme</span>",5,2
"414","cheesy hasselback potato gratin","The Food Lab",469,"side","western","Vegetarian","<span style='color: #CD2626;'>comte</span> or <span style='color: #CD2626;'>gruyere</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>heavy cream</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: orange;'>thyme</span>, <span style='color: #458B00;'>russet potato</span>, <span style='color: #458B00;'>butter</span>",5,2
"415","super crisp roasted potatoes","The Food Lab",474,"side","western","Non-vegetarian","<span style='color: orange;'>duck fat</span> or <span style='color: #458B00;'>bacon fat</span> or <span style='color: #458B00;'>olive oil</span>, <span style='color: orange;'>thyme</span> or <span style='color: #CD2626;'>parsley</span> or <span style='color: orange;'>chives</span> or <span style='color: #CD2626;'>rosemary</span> or <span style='color: #458B00;'>russet potato</span>",1,0
"416","crispy semi smashed new potatoes","The Food Lab",477,"side","western","Vegan","<span style='color: #458B00;'>vegetable oil</span> or <span style='color: orange;'>duck fat</span>, <span style='color: orange;'>chives</span> or <span style='color: #CD2626;'>parsley</span> or <span style='color: orange;'>thyme</span> or <span style='color: #CD2626;'>rosemary</span> or <span style='color: #CD2626;'>new potato</span>",5,2
"417","buttery oniony charred hash browns","The Food Lab",478,"side","western","Vegetarian","<span style='color: #458B00;'>russet potato</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>onion</span>",1,0
"418","tender italian meatballs","The Food Lab",540,"main","mediterranean","Non-vegetarian","<span style='color: orange;'>ground beef</span> or <span style='color: #CD2626;'>ground lamb</span>, <span style='color: #458B00;'>ground pork</span>, <span style='color: #458B00;'>buttermilk</span>, <span style='color: #CD2626;'>gelatin</span>, <span style='color: #458B00;'>sandwich bread</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>marmite</span>, <span style='color: #458B00;'>anchovies</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #CD2626;'>parsley</span> or <span style='color: orange;'>basil</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>dried oregano</span>, <span style='color: #458B00;'>canned whole tomatoes</span>",5,3
"419","pork meatballs with mushroom cream sauce","The Food Lab",542,"main","western","Non-vegetarian","<span style='color: #458B00;'>ground pork</span>, <span style='color: #458B00;'>buttermilk</span> or <span style='color: #458B00;'>heavy cream</span>, <span style='color: #CD2626;'>gelatin</span>, <span style='color: #458B00;'>sandwich bread</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>marmite</span>, <span style='color: #458B00;'>anchovies</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>fennel seed</span>, <span style='color: #458B00;'>vegetable oil</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #CD2626;'>mushrooms</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>chicken stock</span>, <span style='color: orange;'>thyme</span> or <span style='color: #458B00;'>lemon</span>",5,3
"420","smashed burgers","The Food Lab",553,"main","western","Non-vegetarian","<span style='color: orange;'>ground beef</span>, <span style='color: #458B00;'>hamburger buns</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>bacon</span> or <span style='color: #458B00;'>american cheese</span>, <span style='color: #458B00;'>ketchup</span>, <span style='color: #458B00;'>pickle</span>",3,1
"421","buttery lemon herb rubbed roast chicken","The Food Lab",595,"main","western","Non-vegetarian","<span style='color: #CD2626;'>whole chicken</span>, <span style='color: #458B00;'>vegetable oil</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #CD2626;'>sage</span>, <span style='color: #CD2626;'>rosemary</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>butter</span>",5,4
"422","peruvian style roast chicken","The Food Lab",598,"main","latin","Non-vegetarian","<span style='color: #CD2626;'>whole chicken</span>, <span style='color: #458B00;'>vegetable oil</span>, <span style='color: #458B00;'>cumin</span>, <span style='color: #458B00;'>paprika</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>white vinegar</span>",5,1
"423","peruvian green sauce","The Food Lab",598,"sauce","latin","Vegetarian","<span style='color: #CD2626;'>jalapeno</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>mayonnaise</span>, <span style='color: #458B00;'>sour cream</span>, <span style='color: #458B00;'>aji amarillo paste</span>, <span style='color: orange;'>lime</span>, <span style='color: #458B00;'>white vinegar</span>, <span style='color: #458B00;'>olive oil</span>",5,2
"424","barbecue glazed roast chicken","The Food Lab",600,"main","western","Non-vegetarian","<span style='color: #CD2626;'>whole chicken</span>, <span style='color: #458B00;'>vegetable oil</span>, <span style='color: #458B00;'>paprika</span>, <span style='color: #458B00;'>coriander</span>, <span style='color: #458B00;'>fennel seed</span>, <span style='color: #458B00;'>cumin</span>, <span style='color: #458B00;'>dried oregano</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>barbecue sauce</span>",5,1
"425","teriyaki glazed roast chicken","The Food Lab",601,"main","asian","Non-vegetarian","<span style='color: #CD2626;'>whole chicken</span>, <span style='color: #458B00;'>vegetable oil</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>sake</span>, <span style='color: #458B00;'>mirin</span>, <span style='color: #458B00;'>scallions</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>ginger</span>",5,1
"426","apricot glazed pork tenderloin with prunes and figs","The Food Lab",662,"main","western","Non-vegetarian","<span style='color: #CD2626;'>dried figs</span>, <span style='color: #CD2626;'>prunes</span>, <span style='color: #CD2626;'>brandy</span>, <span style='color: #CD2626;'>apricot preserves</span>, <span style='color: #458B00;'>paprika</span>, <span style='color: #CD2626;'>pork tenderloin</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>vegetable oil</span>, <span style='color: #458B00;'>balsamic vinegar</span>, <span style='color: #458B00;'>butter</span>",5,5
"427","pasta with garlicky broccoli anchovies and bacon","The Food Lab",685,"meal","western","Non-vegetarian","<span style='color: #CD2626;'>broccoli</span>, <span style='color: #458B00;'>bacon</span> or <span style='color: #CD2626;'>pancetta</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>anchovies</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>pasta</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>parmesan</span>",5,1
"428","pasta with garlic and lots of vegetables","The Food Lab",686,"meal","western","Vegetarian","<span style='color: #CD2626;'>asparagus</span>, <span style='color: #458B00;'>zucchini</span>, <span style='color: #CD2626;'>summer squash</span>, <span style='color: #CD2626;'>fava beans</span> or <span style='color: #CD2626;'>broccoli</span> or <span style='color: #458B00;'>frozen peas</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>pasta</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>parmesan</span>",5,5
"429","pasta with garlicky shrimp","The Food Lab",690,"main","western","Non-vegetarian","<span style='color: #CD2626;'>shrimp</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>white wine</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>pasta</span>",5,2
"430","puttanesca","The Food Lab",698,"main","mediterranean","Non-vegetarian","<span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>anchovies</span>, <span style='color: #458B00;'>capers</span>, <span style='color: #CD2626;'>kalamata olives</span>, <span style='color: #458B00;'>canned whole tomatoes</span>, <span style='color: #CD2626;'>canned tuna</span> or <span style='color: #458B00;'>spaghetti</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>parmesan</span>",5,3
"431","penna alla vodka with chicken","The Food Lab",699,"main","mediterranean","Non-vegetarian","<span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>dried oregano</span>, <span style='color: #458B00;'>canned whole tomatoes</span>, <span style='color: orange;'>basil</span> or <span style='color: #458B00;'>heavy cream</span>, <span style='color: #CD2626;'>vodka</span>, <span style='color: #458B00;'>pasta</span>, <span style='color: #458B00;'>chicken breast</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>parmesan</span>",5,3
"432","weeknight pasta with meat sauce","The Food Lab",706,"main","western","Non-vegetarian","<span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>carrot</span>, <span style='color: #CD2626;'>celery</span>, <span style='color: #458B00;'>anchovies</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>dried oregano</span>, <span style='color: #CD2626;'>mushrooms</span>, <span style='color: orange;'>ground beef</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>tomato paste</span>, <span style='color: #458B00;'>canned whole tomatoes</span>, <span style='color: #458B00;'>fish sauce</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #CD2626;'>parsley</span> or <span style='color: orange;'>basil</span> or <span style='color: #458B00;'>pasta</span>",5,4
"433","classic pesto with basil and pine nuts","The Food Lab",709,"sauce","mediterranean","Vegetarian","<span style='color: orange;'>basil</span>, <span style='color: orange;'>spinach</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>pine nuts</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>olive oil</span>",3,2
"434","arugula and walnut pesto","The Food Lab",710,"sauce","western","Vegetarian","<span style='color: #CD2626;'>arugula</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>walnuts</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>preserved lemon</span>",5,1
"435","roasted bell pepper and feta pesto","The Food Lab",710,"sauce","western","Vegetarian","<span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>oregano</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>bell pepper</span>, <span style='color: #458B00;'>feta</span>, <span style='color: #458B00;'>pepitas</span>, <span style='color: #458B00;'>olive oil</span>",5,1
"436","lighter fettucine alfredo","The Food Lab",713,"main","western","Vegetarian","<span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>heavy cream</span>, <span style='color: orange;'>fettucine</span> or <span style='color: #458B00;'>pasta</span>, <span style='color: orange;'>chives</span> or <span style='color: #CD2626;'>parsley</span>",3,2
"437","lighter fettucine alfredo with peas and arugula","The Food Lab",713,"main","western","Non-vegetarian","<span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>heavy cream</span>, <span style='color: orange;'>fettucine</span> or <span style='color: #458B00;'>pasta</span>, <span style='color: orange;'>chives</span> or <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>frozen peas</span>, <span style='color: #458B00;'>prosciutto</span> or <span style='color: #458B00;'>bacon</span>, <span style='color: #CD2626;'>arugula</span>",5,3
"438","lighter fettucine alfredo with lemon and rosemary","The Food Lab",713,"main","western","Vegetarian","<span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>heavy cream</span>, <span style='color: orange;'>fettucine</span> or <span style='color: #458B00;'>pasta</span>, <span style='color: orange;'>chives</span> or <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #CD2626;'>rosemary</span>",5,3
